loss,accuracy,val_recall_1,val_precision_1,val_accuracy,precision_1,val_loss,recall_1
0.3302492103492636,0.8567401,0.90960455,0.93877554,0.9251412,0.89570314,0.1879809508047535,0.80767876
0.1757112848968758,0.9326872,0.90112996,0.9876161,0.94491524,0.94721514,0.15117784063358092,0.9165199
0.1284332138063624,0.9524229,0.96327686,0.94722223,0.9548023,0.9622166,0.11192262280037847,0.94188094
0.09795162441200753,0.96229076,0.980226,0.9155673,0.94491524,0.96559066,0.12512356336465327,0.95878834
0.07814100774530207,0.9721586,0.96892655,0.97720796,0.97316384,0.9741776,0.07107018773565016,0.9700599
0.06150077748009812,0.97762114,0.96327686,0.9660057,0.96468925,0.97847563,0.07330418310008449,0.9767524
0.05630578839174977,0.9769163,0.9745763,0.96638656,0.970339,0.97844523,0.0708127521012323,0.9753434
0.05190037599976056,0.9811454,0.980226,0.96121883,0.970339,0.98064744,0.06561393740963149,0.9816837
0.041208424075190715,0.98537445,0.980226,0.94808745,0.96327686,0.98623854,0.08920562719991351,0.9845016
0.03496119269879641,0.9880176,0.9661017,0.974359,0.970339,0.98699474,0.06579098142986055,0.98908067
0.029261562185206078,0.98854625,0.9745763,0.9636871,0.96892655,0.9894143,0.06481563507789406,0.98767173
0.028206122181407025,0.98872244,0.96327686,0.97988504,0.9717514,0.9873551,0.07899074302953378,0.9901374
0.03544029794677493,0.98696035,0.98870057,0.9589041,0.97316384,0.9866244,0.07249922004608009,0.98731947
0.02184970355736264,0.99171805,0.9858757,0.9748603,0.980226,0.9922426,0.0536225970074341,0.99119407
0.019811748433868414,0.9938326,0.96327686,0.97151,0.9675141,0.99400985,0.14252340231445548,0.99365973
0.02790712942374635,0.9896035,0.9576271,0.9883382,0.97316384,0.9894366,0.06707391497009585,0.98978513
0.025948515859953565,0.9904846,0.93502825,0.99698794,0.9661017,0.9904896,0.10266930783454059,0.9904896
0.013877227356173262,0.9954185,0.9915254,0.9538044,0.9717514,0.9950722,0.09330284451076548,0.99577314
0.02032270985451984,0.9924229,0.96892655,0.9716714,0.970339,0.9929478,0.0917767255560098,0.99189854
0.014050508735373099,0.99559474,0.9576271,0.99122804,0.9745763,0.9950739,0.08186810088621103,0.9961254
0.01817406618688153,0.9929515,0.9830508,0.96935934,0.9759887,0.9936508,0.059097211108905666,0.9922508
0.01321832671060056,0.9950661,0.9915254,0.94864863,0.96892655,0.9943721,0.08019508925810838,0.99577314
0.013601616468405688,0.9952423,0.9915254,0.95640326,0.97316384,0.9954193,0.0956290733622502,0.99506867
0.018430284307438816,0.99418503,0.9491525,0.9882353,0.96892655,0.9940141,0.11166965934803351,0.9943642
0.01869001704778949,0.9952423,0.9858757,0.96944445,0.97740114,0.9943741,0.07435334551454446,0.9961254
