recall,val_precision,val_accuracy,accuracy,precision,loss,val_recall,val_loss
0.8967946,0.97626114,0.9533898,0.9067841,0.91516894,0.2301456483062931,0.9293785,0.1367643520151828
0.9468123,0.97959185,0.96468925,0.9538326,0.960343,0.12931464081818836,0.9491525,0.11088318195678083
0.96090174,0.95604396,0.96892655,0.9661674,0.9711641,0.09290373417577555,0.9830508,0.08608616326309446
0.97182107,0.95988536,0.9533898,0.9755066,0.97906315,0.06825862460462007,0.9463277,0.11153198661293182
0.97323,0.9456522,0.96327686,0.9763877,0.9794399,0.06263002301086282,0.9830508,0.09316941889234434
0.97816133,0.95342463,0.9675141,0.9799119,0.98161894,0.05110455919795624,0.9830508,0.0684850074529732
0.9855583,0.98579544,0.9830508,0.9844934,0.9834798,0.040871187327388626,0.980226,0.05014422917896408
0.98344487,0.95095366,0.9675141,0.9843172,0.98517996,0.040988363104047756,0.9858757,0.07389135465767803
0.98591053,0.9690141,0.970339,0.98519826,0.9845234,0.04239444418937493,0.9717514,0.07496818914314952
0.9901374,0.9719888,0.9759887,0.9890749,0.9880492,0.028461641336817885,0.980226,0.07332564029897863
0.98908067,0.96648043,0.9717514,0.9894273,0.9897779,0.030090732222119356,0.97740114,0.08625836104995145
0.9855583,0.9142857,0.950565,0.98678416,0.9879944,0.03523130617740396,0.99435025,0.13883416794272044
0.99084187,0.95616436,0.970339,0.9904846,0.9901443,0.025755971539355323,0.9858757,0.07562366797290164
0.99119407,0.966759,0.9759887,0.9911894,0.99119407,0.023170382442867735,0.9858757,0.06269565652457387
0.98767173,0.9856322,0.97740114,0.9878414,0.9880197,0.034749729237878196,0.96892655,0.0614254459854489
0.99295527,0.9856322,0.97740114,0.9934802,0.9940056,0.01897755917338121,0.96892655,0.07576353883628581
0.99119407,0.96590906,0.96327686,0.9910132,0.9908451,0.023634275437582956,0.96045196,0.11952295958716949
0.98802394,0.9478022,0.96045196,0.9876652,0.9873284,0.03260959305462021,0.9745763,0.11376239198765134
0.98591053,0.96648043,0.9717514,0.9859031,0.98591053,0.03928404735126389,0.97740114,0.07166663734084469
0.99542093,0.96648043,0.9717514,0.9954185,0.99542093,0.014286603590336091,0.97740114,0.10838483394410377
0.994012,0.9516129,0.9745763,0.99488986,0.9957657,0.014254155326401303,1.0,0.10240076392238544
0.99330753,0.93565685,0.95903957,0.9929515,0.99260825,0.017290415590260247,0.9858757,0.11163953442825662
0.992603,0.9941176,0.9745763,0.9906608,0.9887719,0.02659222570777202,0.9548023,0.09135058891399116
0.98908067,0.96121883,0.970339,0.99030834,0.9915254,0.02881121920429925,0.980226,0.08492003876708006
0.99506867,0.9285714,0.9576271,0.99471366,0.9943682,0.015519855616753717,0.9915254,0.11792597154107361
